Country,ISO,Series Name,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Imports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Exports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,785.1615259,865.5924812,762.7253617,776.934749,826.952081,890.9533599,923.7288675,1010.819221,864.1994597,1149.536096,989.2001485,966.6832838,1000.122013,1018.263142,916.5551906,963.9271695,921.893044,927.7445187,896.4377624,813.2556955,572.781844,418.2866298,412.3788805,441.2492954,417.034843,447.8488703,384.5949583,426.6828191,576.1836323,580.4947642,597.2652527,660.0479841,648.1683871,715.4144831,719.5843781,706.8594077,679.8617651,710.7484985,732.3166818,729.1543727,764.9686166,687.8962599,801.329975,808.4558396,..,..,..,..,..,..
Albania,ALB,Imports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1227048505,1120407419,1333014465,1538629122,2300872130,2651107711,2911350529,3060633195,3312101591,3848503242,4183558823,4994570118,5175492731,5116479392,5087164545,5401870345,5040261183,5007820582,5221093228,5070976019,5421893718,5874936823,6015756951,6153496254,4929187053
Albania,ALB,Exports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,326109796.9,266515064.1,356686380.8,617412664.6,857470736.1,990002860.7,1025171414,1145867420,1357667967,1687131307,1972719244,2349749309,2241060081,2346648431,2797054268,2983732331,2992492281,3040042849,3075088502,3104896965,3457010822,3914838502,4072440421,4179781403,3110723244
Algeria,DZA,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,232.9479602,263.0235578,306.9646644,321.1615096,332.4141817,368.7623271,401.0885804,479.6771299,589.8930925,582.9501501,614.5125852,775.8660251,812.6825697,780.98468,791.0372674,867.598784,832.5511087,854.8526167,825.2598801,861.2606561,888.8756821,888.7351531,872.3076178,823.5764393,843.0419961,802.0992322,808.759277,824.5338699,867.7984088,869.6097556,860.0414231,908.2972873,953.0582217,952.26824,977.9542029,1031.919021,1078.183507,1073.205752,1153.664038,1114.217152,1140.642901,1229.54703,1247.494955,1327.53551,..,..,..,..,..,..
Algeria,DZA,Imports of goods and services (constant 2015 US$),16285345192,14064615814,3516153930,8327732947,7032307908,6477125782,6136224807,5941423541,7061528122,8522534262,9593938795,8863435725,10324440843,12954251614,17483369111,20356681247,19431377931,23522193772,25372802447,23229993381,24009196500,27922694152,27448009114,29149786731,29878530409,31581606615,24633654118,17563793830,18160963169,21212006373,19133229105,15708380832,16430966665,15330091551,16265227043,16590532511,14383990816,14729207018,15804439485,16072482792,17289299344,19167138543,23473027340,24646211025,27671753841,29419021108,28979467437,32434293241,37479515090,42355895604,44210310807,41819144280,47644761681,52313948326,56708319985,60621194064,58923800631,54740210786,52769563197,49128463337,41126038226
Algeria,DZA,Exports of goods and services (constant 2015 US$),24114192359,24114192359,8315238869,13720143191,14135905699,14135905699,15348637594,15803412435,17925694053,19555301483,20313260057,15045455417,20843828932,21980765278,20654340029,20768033378,21488092641,21374399328,22662926782,24292535723,21147012665,21210453475,23373919090,24823103051,26238020058,26920207937,26839448140,28449813302,28563612159,30848701748,31897557677,31610482129,32843288308,32219268085,31123812214,33084611492,35565957973,37806614622,38449324514,40758235332,43351695906,42284898117,43995144277,47705524197,49169197705,51990999077,50617907670,50091251601,48658892728,43775514313,43401072841,42092824271,40501187565,38192619874,38269005114,38460350139,41152574649,38642267595,37212503695,34942540969,31161223492
American Samoa,ASM,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Imports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,897750000,891782051.3,776685897.4,777538461.5,748551282.1,720416666.7,735762820.5,640275641,569512820.5,529442307.7,550756410.3,573775641,641980769.2,665000000,643685897.4,569512820.5,566102564.1,535410256.4,607025641
American Samoa,ASM,Exports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,771192592.6,756133333.3,632488888.9,664985185.2,620600000,628525925.9,626148148.1,492200000,413733333.3,365385185.2,382822222.2,381237037,398674074.1,428000000,423244444.4,330511111.1,374896296.3,355081481.5,390748148.1
Andorra,AND,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
